@id,rdf:type,rdfs:subClassOf,rdfs:label,rdfs:comment,rdfs:isDefinedBy,pav:version
dg:Schema,,,Data Governance Schema,"This schema is based on the LinkedIn article https://www.linkedin.com/pulse/data-beliefs-eugene-morozov published in 2022. It is formalising Concepts, Data Containers, Data Elements, Data Ownership Transformations and Controls.",,2.0.0
dg:Concept,rdfs:Class,,Concept,Anything that data can be about.,dg:Schema,
dg:DataContainer,rdfs:Class,,Data Container,Any container that holds data.,dg:Schema,
dg:System,rdfs:Class,dg:DataContainer,System,"Integrated components to collect, store, process and publish data, typically in pursuit of some organisational objectives, to manage risk or to meet regulatory expectations.",dg:Schema,
dg:RelationalDatabase,rdfs:Class,dg:DataContainer,Relational Database,Database management system that supports relational model.,dg:Schema,
dg:RelationalDatabaseSchema,rdfs:Class,dg:DataContainer,Relational Database Schema,Schema in a database management system that supports relational model.,dg:Schema,
dg:RelationalDatabaseTable,rdfs:Class,dg:DataContainer,Relational Database Table,Table in a database management system that supports relational model.,dg:Schema,
dg:RelationalDatabaseColumn,rdfs:Class,dg:DataContainer,Relational Database Column,Column in a database management system that supports relational model.,dg:Schema,
dg:CSV,rdfs:Class,dg:DataContainer,CSV,CSV structure.,dg:Schema,
dg:CSVColumn,rdfs:Class,dg:DataContainer,CSV Column,Column that is part of the CSV structure identified by a column name.,dg:Schema,
dg:JSON,rdfs:Class,dg:DataContainer,JSON,JSON structure.,dg:Schema,
dg:JSONElement,rdfs:Class,dg:DataContainer,JSON Element,Element that is a part of the JSON structure.,dg:Schema,
dg:XML,rdfs:Class,dg:DataContainer,XML,XML structure.,dg:Schema,
dg:XMLElement,rdfs:Class,dg:DataContainer,XML Element,Element that is a part of the XML structure identified by an xpath selector.,dg:Schema,
dg:ExcelWorkbook,rdfs:Class,dg:DataContainer,Excel Workbook,Excel workbook.,dg:Schema,
dg:ExcelSheet,rdfs:Class,dg:DataContainer,Excel Sheet,Excel sheet.,dg:Schema,
dg:ExcelColumn,rdfs:Class,dg:DataContainer,Excel Column,Excel column.,dg:Schema,
dg:ExcelRange,rdfs:Class,dg:DataContainer,Excel Range,Excel range of cells.,dg:Schema,
dg:ExcelCell,rdfs:Class,dg:DataContainer,Excel Cell,Excel cell identified by Excel cell reference.,dg:Schema,
dg:UserInterfaceForm,rdfs:Class,dg:DataContainer,User Interface Form,User interface form (e.g. thick client or web UI),dg:Schema,
dg:UserInterfaceElement,rdfs:Class,dg:DataContainer,User Interface Element,User interface element identified by e.g. CSS selector.,dg:Schema,
dg:DataElement,rdfs:Class,,Data Element,Actual data about some concept residing in a data container and commonly referenced by some term.,dg:Schema,
dg:Transformation,rdfs:Class,,Transformation,Transformation taking place along the flow of data.,dg:Schema,
dg:Control,rdfs:Class,,Control,Safeguard to protect the quality of particular data element along one or more data quality dimensions.,dg:Schema,
dg:conceptClassification,rdf:Property,,concept classification,Classification of Concept using a defined taxonomy.,dg:Schema,
dg:dataContainerClassification,rdf:Property,,data container classification,Classification of Data Container using a defined taxonomy.,dg:Schema,
dg:dataElementClassification,rdf:Property,,data element classification,Classification of Data Element using a defined taxonomy.,dg:Schema,
dg:transformationClassification,rdf:Property,,transformation classification,Classification of Transformation using a defined taxonomy.,dg:Schema,
dg:controlClassification,rdf:Property,,control classification,Classification of Control using a defined taxonomy.,dg:Schema,
dg:definition,rdf:Property,,concept definition,Concept definition.,dg:Schema,
dg:preferredTerm,rdf:Property,,preferred term,Preferred term for this Concept.,dg:Schema,
dg:alternativeTerm,rdf:Property,,alternative term,Alternative term for this Concept (e.g. a commonly used abbreviation).,dg:Schema,
dg:hasBroaderConcept,rdf:Property,,has broader concept,Concept that has a broader meaning than this Concept.,dg:Schema,
dg:hasNarrowerConcept,rdf:Property,,has narrower concept,Concept that has a narrower meaning than this Concept.,dg:Schema,
dg:hasRelatedConcept,rdf:Property,,has related concept,Concept that is related to this Concept.,dg:Schema,
dg:isPartOfDataContainer,rdf:Property,,is part of data container,Container that this Container is a part of.,dg:Schema,
dg:dataContainerName,rdf:Property,,data container name,"Container type specific name (e.g. relational database column name, CSV column name, JSON or XML element name).",dg:Schema,
dg:dataContainerPathExpression,rdf:Property,,data container path expression,"Container type specific path expression (e.g. fully specified column name for a relational database column, JSONPath for a JSON element, XSLT selector for an XML element).",dg:Schema,
dg:dataIsAboutConcept,rdf:Property,,data is about concept,Concept that data in the Data Container is expected to be about.,dg:Schema,
dg:dataIsResidingInDataContainer,rdf:Property,,data is residing in data container,Data Container where data resides.,dg:Schema,
dg:partyInRoleOfDataOwner,rdf:Property,,data owner,Party playing a Data Owner role.,dg:Schema,
dg:partyInRoleOfDataSteward,rdf:Property,,data steward,Party playing a Data Steward role.,dg:Schema,
dg:partyInRoleOfDataContainerOwner,rdf:Property,,data container owner,Party playing a Data Container Owner role.,dg:Schema,
dg:transformationHasRule,rdf:Property,,transformation rule,Transformation rule descriptions at arbitrary level of granularity and formalism.,dg:Schema,
dg:transformationHasSource,rdf:Property,,transformation source,Source of the transformation. Transformation may have multiple sources.,dg:Schema,
dg:transformationHasTarget,rdf:Property,,transformation target,Target of the transformation. Transformation may have multiple targets.,dg:Schema,
dg:controlIsForQualityOfDataElement,rdf:Property,,control is for quality of data element,What Data Element is the control for.,dg:Schema,
dg:controlDescription,rdf:Property,,control description,Description of the particular control.,dg:Schema,
