@id,rdf:type,rdfs:subClassOf,rdfs:label,rdfs:comment,rdfs:isDefinedBy,pav:version
dg:Scheme,,,Data Governance Scheme,"This scheme is based on the LinkedIn article https://www.linkedin.com/pulse/data-beliefs-eugene-morozov published in 2022. It is formalising Terms, Concepts, Data Containers, Snapshots, Data Elements and Data Ownership.",,1.0.0
dg:Concept,rdfs:Class,,Concept,Anything that data can be about.,dg:Scheme,
dg:Term,rdfs:Class,,Term,String of characters in plain language used to refer to Concept.,dg:Scheme,
dg:DataContainer,rdfs:Class,,Data Container,Any container that holds data.,dg:Scheme,
dg:System,rdfs:Class,dg:DataContainer,System,"Integrated components to collect, store, process and publish data, typically in pursuit of some organisational objectives, to manage risk or to meet regulatory expectations.",dg:Scheme,
dg:DataTransferContainer,rdfs:Class,dg:DataContainer,Data Transfer Container,Any container used to transfer data between Systems. Typically transient and refer to message types rather than particular messages.,dg:Scheme,
dg:DataStorageContainer,rdfs:Class,dg:DataContainer,Data Storage Container,Any container user to store data.,dg:Scheme,
dg:RelationalDatabase,rdfs:Class,dg:DataStorageContainer,Relational Database,Database management system that supports relational model.,dg:Scheme,
dg:RelationalDatabaseSchema,rdfs:Class,dg:DataStorageContainer,Relational Database Schema,Schema in a database management system that supports relational model.,dg:Scheme,
dg:RelationalDatabaseTable,rdfs:Class,dg:DataStorageContainer,Relational Database Table,Table in a database management system that supports relational model.,dg:Scheme,
dg:RelationalDatabaseColumn,rdfs:Class,dg:DataStorageContainer,Relational Database Column,Column in a database management system that supports relational model.,dg:Scheme,
dg:CSV,rdfs:Class,dg:DataTransferContainer,CSV,CSV structure.,dg:Scheme,
dg:CSVColumn,rdfs:Class,dg:DataTransferContainer,CSV Column,Column that is part of the CSV structure.,dg:Scheme,
dg:JSON,rdfs:Class,dg:DataTransferContainer,JSON,JSON structure.,dg:Scheme,
dg:JSONElement,rdfs:Class,dg:DataTransferContainer,JSON Element,Element that is a part of the JSON structure.,dg:Scheme,
